****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net1067                     1.80    0.004    0.700    0.50e-4  6.179e-10  a
net304                      1.80    0.007    0.100    0.75e-4  5.940e-10  a
net958                      1.80    0.004    0.000    0.75e-4  5.844e-10  a
net235                      1.80    0.002    0.300    0.0001   5.786e-10  a
net654                      1.80    0.002    0.300    1.00e-4  5.308e-10  a
net1073                     1.80    0.003    0.700    0.50e-4  5.250e-10  a
net42                       1.80    0.006    0.600    0.75e-4  5.182e-10  a
net108                      1.80    0.003    1.000    1.00e-4  5.092e-10  a
net139                      1.80    0.006    0.100    1.00e-4  4.647e-10  a
net647                      1.80    0.006    0.100    1.00e-4  4.522e-10  a
net225                      1.80    0.006    0.000    0.25e-4  4.469e-10  a
net234                      1.80    0.006    0.000    0.25e-4  4.468e-10  a
net24                       1.80    0.003    0.100    0.50e-4  4.250e-10  a
net548                      1.80    0.005    0.400    0.50e-4  4.162e-10  a
net219                      1.80    0.002    0.500    1.00e-4  3.995e-10  a
net109                      1.80    0.002    0.800    0.50e-4  3.957e-10  a
net356                      1.80    0.004    0.600    0.50e-4  3.601e-10  a
net120                      1.80    0.002    0.700    0.50e-4  3.360e-10  a
net59                       1.80    0.004    0.000    0.25e-4  3.133e-10  a
net641                      1.80    0.004    0.000    0.25e-4  3.081e-10  a
net355                      1.80    0.003    0.000    0.25e-4  2.777e-10  a
net43                       1.80    0.003    0.000    0.25e-4  2.628e-10  a
net110                      1.80    0.003    0.300    0.50e-4  2.608e-10  a
net134                      1.80    0.003    0.900    0.50e-4  2.260e-10  a
net125                      1.80    0.003    0.900    0.50e-4  2.130e-10  a
net285                      1.80    0.003    0.000    0.25e-4  2.052e-10  a
net252                      1.80    0.002    0.400    0.75e-4  1.951e-10  a
net325                      1.80    0.002    0.000    0.25e-4  1.923e-10  a
net143                      1.80    0.002    0.800    0.50e-4  1.599e-10  a
out45                       1.80    0.001    0.000    0.75e-4  1.400e-10  a
out31                       1.80    0.001    0.100    0.75e-4  7.093e-11  a
out61                       1.80    0.001    0.000    0.25e-4  4.496e-11  a
