****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net8                        1.80    0.018    0.228    0.0001   3.963e-09  a
net868                      1.80    0.030    0.547    0.81e-4  3.910e-09  a
net207                      1.80    0.026    0.403    0.93e-4  3.863e-09  a
net92                       1.80    0.075    0.978    0.32e-4  3.863e-09  a
net914                      1.80    0.011    0.496    0.0002   3.844e-09  a
net140                      1.80    0.071    0.899    0.32e-4  3.665e-09  a
net103                      1.80    0.008    0.532    0.0003   3.656e-09  a
net1084                     1.80    0.029    0.886    0.77e-4  3.588e-09  a
clknet_1_1__leaf_net483     1.80    0.027    0.213    0.81e-4  3.562e-09  a
net902                      1.80    0.012    0.479    0.0002   3.524e-09  a
net199                      1.80    0.018    0.834    0.0001   3.379e-09  a
net222                      1.80    0.051    0.000    0.40e-4  3.306e-09  a
net130                      1.80    0.056    0.057    0.37e-4  3.292e-09  a
net73                       1.80    0.040    0.951    0.51e-4  3.279e-09  a
net1043                     1.80    0.088    0.427    0.23e-4  3.272e-09  a
net123                      1.80    0.026    0.095    0.78e-4  3.264e-09  a
net102                      1.80    0.009    0.623    0.0002   3.202e-09  a
net997                      1.80    0.099    0.016    0.20e-4  3.193e-09  a
net873                      1.80    0.012    0.502    0.0002   3.146e-09  a
clknet_1_0__leaf_net483     1.80    0.024    0.213    0.81e-4  3.137e-09  a
net1051                     1.80    0.092    0.422    0.20e-4  3.129e-09  a
net903                      1.80    0.025    0.492    0.74e-4  3.063e-09  a
clknet_0_net67              1.80    0.020    0.308    0.94e-4  3.005e-09  a
net440                      1.80    0.015    0.732    0.0001   2.971e-09  a
net198                      1.80    0.016    0.834    0.0001   2.967e-09  a
net1075                     1.80    0.016    0.834    0.0001   2.955e-09  a
net441                      1.80    0.029    0.732    0.61e-4  2.910e-09  a
clknet_0_net946             1.80    0.024    0.144    0.76e-4  2.899e-09  a
net205                      1.80    0.018    0.403    1.00e-4  2.866e-09  a
net909                      1.80    0.033    0.438    0.52e-4  2.835e-09  a
net91                       1.80    0.015    0.764    0.0001   2.827e-09  a
net1033                     1.80    0.027    0.117    0.64e-4  2.823e-09  a
net72                       1.80    0.023    0.886    0.77e-4  2.812e-09  a
