****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_0
Version: Q-2019.12-SP1
Date   : Thu Aug 29 17:42:40 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net210                      1.80    0.004    0.464    0.0006   4.140e-09  a
net231                      1.80    0.024    0.449    0.0001   4.131e-09  a
net871                      1.80    0.018    0.500    0.0001   4.099e-09  a
net91                       1.80    0.010    0.667    0.0002   4.045e-09  a
net1093                     1.80    0.015    0.588    0.0002   4.027e-09  a
net240                      1.80    0.019    0.307    0.0001   3.995e-09  a
net870                      1.80    0.019    0.514    0.0001   3.974e-09  a
clknet_1_1__leaf_net331     1.80    0.014    0.092    0.0002   3.834e-09  a
net28                       1.80    0.012    0.664    0.0002   3.802e-09  a
net103                      1.80    0.007    0.583    0.0003   3.749e-09  a
net109                      1.80    0.005    0.581    0.0004   3.739e-09  a
net314                      1.80    0.014    0.265    0.0002   3.617e-09  a
net123                      1.80    0.027    0.605    0.81e-4  3.552e-09  a
net864                      1.80    0.016    0.491    0.0001   3.551e-09  a
net230                      1.80    0.012    0.738    0.0002   3.508e-09  a
clknet_0_net177             1.80    0.021    0.164    0.0001   3.487e-09  a
net100                      1.80    0.009    0.583    0.0002   3.474e-09  a
net9                        1.80    0.012    0.604    0.0002   3.472e-09  a
net895                      1.80    0.013    0.525    0.0002   3.313e-09  a
clknet_0_net483             1.80    0.020    0.104    0.0001   3.303e-09  a
net331                      1.80    0.012    0.092    0.0002   3.287e-09  a
net313                      1.80    0.009    0.848    0.0002   3.256e-09  a
net316                      1.80    0.018    0.118    0.0001   3.227e-09  a
clknet_1_1__leaf_net177     1.80    0.020    0.164    0.0001   3.222e-09  a
net921                      1.80    0.018    0.550    0.0001   3.154e-09  a
net891                      1.80    0.067    0.447    0.28e-4  3.126e-09  a
net2                        1.80    0.011    0.503    0.0002   3.054e-09  a
net1057                     1.80    0.010    0.518    0.0002   3.008e-09  a
net862                      1.80    0.008    0.499    0.0002   2.999e-09  a
clknet_0_net56              1.80    0.021    0.338    0.86e-4  2.924e-09  a
net483                      1.80    0.018    0.104    0.0001   2.903e-09  a
net867                      1.80    0.016    0.523    0.0001   2.883e-09  a
net116                      1.80    0.025    0.112    0.72e-4  2.858e-09  a
net115                      1.80    0.043    0.086    0.39e-4  2.714e-09  a
net904                      1.80    0.008    0.507    0.0002   2.600e-09  a
net917                      1.80    0.010    0.525    0.0002   2.576e-09  a
net1054                     1.80    0.005    0.630    0.0003   2.557e-09  a
net293                      1.80    0.009    0.492    0.0002   2.541e-09  a
net1069                     1.80    0.008    0.549    0.0002   2.518e-09  a
net225                      1.80    0.008    0.308    0.0002   2.507e-09  a
net531                      1.80    0.012    0.350    0.0001   2.439e-09  a
net892                      1.80    0.013    0.478    0.0001   2.435e-09  a
net874                      1.80    0.016    0.507    0.96e-4  2.432e-09  a
net866                      1.80    0.064    0.603    0.22e-4  2.377e-09  a
net139                      1.80    0.007    0.338    0.0002   2.340e-09  a
clknet_1_0__leaf_net177     1.80    0.014    0.164    0.0001   2.333e-09  a
net1094                     1.80    0.009    0.588    0.0002   2.266e-09  a
net912                      1.80    0.010    0.530    0.0001   2.172e-09  a
net899                      1.80    0.012    0.502    0.0001   2.160e-09  a
net318                      1.80    0.007    0.512    0.0002   2.132e-09  a
net42                       1.80    0.007    0.500    0.0002   2.080e-09  a
net1061                     1.80    0.008    0.488    0.0002   2.078e-09  a
net320                      1.80    0.011    0.428    0.0001   2.026e-09  a
net84                       1.80    0.020    0.560    0.63e-4  2.022e-09  a
net108                      1.80    0.003    0.667    0.0004   2.021e-09  a
net122                      1.80    0.024    0.101    0.52e-4  1.980e-09  a
net177                      1.80    0.012    0.164    0.0001   1.963e-09  a
net888                      1.80    0.005    0.508    0.0002   1.955e-09  a
net93                       1.80    0.021    0.565    0.57e-4  1.935e-09  a
net111                      1.80    0.004    0.702    0.0003   1.922e-09  a
net916                      1.80    0.026    0.530    0.44e-4  1.907e-09  a
net1053                     1.80    0.004    0.630    0.0003   1.906e-09  a
net26                       1.80    0.011    0.624    0.0001   1.807e-09  a
net135                      1.80    0.004    0.464    0.0003   1.792e-09  a
net633                      1.80    0.004    0.517    0.0003   1.774e-09  a
net1068                     1.80    0.006    0.549    0.0002   1.672e-09  a
net898                      1.80    0.007    0.482    0.0001   1.659e-09  a
net5                        1.80    0.014    0.474    0.69e-4  1.631e-09  a
net220                      1.80    0.020    0.134    0.50e-4  1.610e-09  a
net56                       1.80    0.011    0.338    0.86e-4  1.523e-09  a
net910                      1.80    0.015    0.492    0.60e-4  1.496e-09  a
net894                      1.80    0.046    0.456    0.20e-4  1.488e-09  a
net27                       1.80    0.008    0.657    0.0001   1.472e-09  a
clknet_1_0__leaf_net56      1.80    0.010    0.338    0.86e-4  1.444e-09  a
net126                      1.80    0.005    0.515    0.0002   1.335e-09  a
net236                      1.80    0.004    0.275    0.0002   1.328e-09  a
net248                      1.80    0.007    0.077    0.0001   1.318e-09  a
net919                      1.80    0.010    0.503    0.77e-4  1.291e-09  a
net241                      1.80    0.017    0.079    0.46e-4  1.286e-09  a
net881                      1.80    0.006    0.490    0.0001   1.285e-09  a
clknet_0_net145             1.80    0.019    0.045    0.42e-4  1.273e-09  a
net631                      1.80    0.007    0.098    0.0001   1.254e-09  a
net53                       1.80    0.008    0.177    0.95e-4  1.225e-09  a
net637                      1.80    0.007    0.354    0.0001   1.189e-09  a
net869                      1.80    0.008    0.520    0.82e-4  1.125e-09  a
net630                      1.80    0.005    0.314    0.0001   1.119e-09  a
net1102                     1.80    0.003    0.549    0.0002   1.037e-09  a
net319                      1.80    0.004    0.512    0.0002   1.013e-09  a
net863                      1.80    0.009    0.527    0.61e-4  9.337e-10  a
net323                      1.80    0.004    0.556    0.0001   9.337e-10  a
net901                      1.80    0.003    0.503    0.0002   9.205e-10  a
net322                      1.80    0.006    0.603    0.98e-4  9.204e-10  a
net110                      1.80    0.007    0.122    0.84e-4  9.129e-10  a
net890                      1.80    0.014    0.497    0.39e-4  8.964e-10  a
net134                      1.80    0.002    0.547    0.0002   8.904e-10  a
net114                      1.80    0.004    0.527    0.0001   8.826e-10  a
net168                      1.80    0.006    0.152    0.88e-4  8.747e-10  a
net226                      1.80    0.002    0.553    0.0003   8.733e-10  a
net427                      1.80    0.003    0.488    0.0002   8.632e-10  a
net321                      1.80    0.063    0.000    0.82e-5  8.165e-10  a
net24                       1.80    0.002    0.634    0.0003   7.873e-10  a
net915                      1.80    0.020    0.563    0.22e-4  7.296e-10  a
net58                       1.80    0.004    0.508    0.0001   7.218e-10  a
net61                       1.80    0.002    0.492    0.0002   7.181e-10  a
net635                      1.80    0.003    0.147    0.0001   7.145e-10  a
net136                      1.80    0.006    0.124    0.74e-4  7.001e-10  a
net145                      1.80    0.010    0.045    0.42e-4  6.879e-10  a
